,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,AVERAGE ALLOWED CHARGES,AVERAGE PAYMENT,CARDIOVASCULAR,DIGESTIVE SYSTEM,EAR,ENDOCRINE SYSTEM,EYE,FEMALE GENITALIA,INTEGUMENTARY,LYMPHATIC,MALE GENITALIA,MATERNITY,MEDIASTINUM,MUSCULOSKELETAL,RESPIRATORY,URINARY,y
4339,47801.0,TOTAL,159.0,116119.36,90126.28,730.3104402515723,566.8319496855346,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4342,47802.0,TOTAL,13.0,10816.23,8479.91,832.0176923076923,652.3007692307692,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4345,47900.0,TOTAL,134.0,130543.05,101346.72,974.2018656716418,756.3188059701492,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4348,47999.0,TOTAL,315.0,166013.49,130261.61,527.0269523809524,413.5289206349206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4351,48000.0,TOTAL,126.0,183737.54,143915.98,1458.2344444444445,1142.1903174603176,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4354,48001.0,TOTAL,31.0,68149.04,53354.85,2198.3561290322577,1721.124193548387,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4357,48020.0,TOTAL,22.0,12986.56,10181.44,590.2981818181818,462.7927272727273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4360,48100.0,TOTAL,396.0,179044.91,140309.97,452.1336111111111,354.31810606060606,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4363,48102.0,TOTAL,1339.0,338298.28,262471.06,252.64994772218074,196.02020911127707,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4366,48105.0,TOTAL,442.0,1021395.95,795752.21,2310.8505656108596,1800.344366515837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4369,48120.0,TOTAL,164.0,111336.35,86625.56,678.8801829268293,528.2046341463415,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4372,48140.0,TOTAL,2035.0,2572313.76,1995993.99,1264.0362457002457,980.8324275184275,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4375,48145.0,TOTAL,43.0,64420.16,50505.42,1498.1432558139536,1174.5446511627906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4378,48146.0,TOTAL,66.0,100513.02,77366.29,1522.9245454545455,1172.216515151515,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4381,48148.0,TOTAL,37.0,31447.24,24707.63,849.9254054054054,667.7737837837838,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4384,48150.0,TOTAL,2941.0,7862682.04,6131887.67,2673.4723019381163,2084.966905814349,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4387,48152.0,TOTAL,70.0,169340.36,132662.57,2419.1479999999997,1895.1795714285715,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4390,48153.0,TOTAL,1726.0,4429936.56,3448898.57,2566.591286210892,1998.2031112398608,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4393,48154.0,TOTAL,39.0,101469.49,79478.79000000001,2601.7817948717952,2037.9176923076925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4396,48155.0,TOTAL,149.0,191439.77,148659.24,1284.8306711409396,997.7130201342281,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4407,48510.0,TOTAL,80.0,56245.24000000001,44091.56,703.0655000000002,551.1445,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4410,48520.0,TOTAL,147.0,102957.27,79440.08,700.3895918367347,540.4087074829932,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4413,48540.0,TOTAL,38.0,33661.18,26385.7,885.8205263157895,694.3605263157895,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4416,48545.0,TOTAL,19.0,20035.43,15707.76,1054.4963157894738,826.7242105263158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4419,48547.0,TOTAL,54.0,70778.61,55569.51,1310.715,1029.065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4422,48548.0,TOTAL,114.0,144852.52,112814.49,1270.6361403508772,989.6007894736842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4427,48551.0,TOTAL,520.0,57382.03,44509.89,110.35005769230769,85.59594230769231,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4430,48552.0,TOTAL,88.0,9333.960000000001,6918.639999999999,106.06772727272728,78.62090909090908,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
4433,48554.0,TOTAL,636.0,1139171.65,875260.71,1791.150393081761,1376.1960849056604,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4436,48556.0,TOTAL,74.0,63461.46,47714.9,857.5872972972973,644.795945945946,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4439,48999.0,TOTAL,1136.0,1592728.83,1246512.34,1402.0500264084508,1097.2819894366198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4443,49000.0,TOTAL,8014.0,5237932.25,4071508.47,653.5977352133766,508.0494721736961,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4446,49002.0,TOTAL,7467.0,6331263.82,4913963.43,847.8992661041918,658.0907231820007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4450,49010.0,TOTAL,1068.0,818580.67,638607.74,766.4613014981273,597.9473220973782,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4453,49020.0,TOTAL,5031.0,5993881.359999999,4674731.44,1191.3896561319816,929.1853388988274,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4456,49040.0,TOTAL,380.0,273452.55,213633.67,719.6119736842105,562.1938684210527,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4459,49060.0,TOTAL,947.0,835860.88,649156.74,882.6408447729673,685.4875818373812,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4462,49062.0,TOTAL,116.0,60327.19,46250.21,520.0619827586207,398.7087068965517,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4466,49082.0,TOTAL,12710.0,1092930.56,840449.77,85.98981589299764,66.12508025177026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4470,49083.0,TOTAL,214862.0,24612063.32,18918291.71,114.54823710102298,88.04856936079904,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4473,49084.0,TOTAL,2178.0,159975.35,124820.1,73.45057392102846,57.30950413223141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4476,49180.0,TOTAL,20317.0,1795611.84,1383643.47,88.37977260422306,68.10274499187872,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4479,49203.0,TOTAL,2709.0,2103823.87,1634702.12,776.6053414544112,603.4337836840162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4482,49204.0,TOTAL,1424.0,1775046.82,1382603.03,1246.521643258427,970.9290941011236,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4485,49205.0,TOTAL,2098.0,3052494.74,2373884.61,1454.9545948522402,1131.4988608198285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4488,49215.0,TOTAL,135.0,234213.47,183884.04,1734.9145925925925,1362.104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4494,49250.0,TOTAL,248.0,117057.02,91245.79999999999,472.0041129032258,367.92661290322576,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4498,49255.0,TOTAL,1027.0,530687.86,412241.15,516.735988315482,401.4032619279455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4502,49320.0,TOTAL,9419.0,2539111.59,1961795.03,269.57337190784585,208.28060622146725,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4506,49321.0,TOTAL,5349.0,1213279.23,940758.13,226.82356141334827,175.87551504954197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4510,49322.0,TOTAL,1483.0,409859.84,316957.17,276.3721105866487,213.72701955495617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4513,49323.0,TOTAL,363.0,148419.3,115392.21,408.8685950413223,317.8848760330579,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4517,49324.0,TOTAL,9983.0,3612927.03,2763100.62,361.90794650906537,276.78058900130225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4521,49325.0,TOTAL,2579.0,1025225.73,778904.1400000001,397.5283947266382,302.0178906552928,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4525,49326.0,TOTAL,1204.0,206915.55,158995.52,171.85676910299003,132.05607973421925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4528,49327.0,TOTAL,27.0,3160.49,2477.86,117.05518518518518,91.7725925925926,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4531,49329.0,TOTAL,1422.0,908445.75,710171.16,638.8507383966245,499.4171308016878,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4534,49400.0,TOTAL,989.0,98663.36,74384.73,99.76072800808898,75.21206268958544,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4537,49402.0,TOTAL,939.0,632746.62,489807.38,673.8515654952076,521.6266027689031,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4540,49405.0,TOTAL,6047.0,1297410.88,1008329.54,214.55446998511655,166.74872498759717,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4543,49406.0,TOTAL,30472.0,6597973.95,5126238.15,216.525792530848,168.22782062221057,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4546,49407.0,TOTAL,294.0,69439.68,53695.64,236.18938775510202,182.638231292517,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4549,49411.0,TOTAL,1217.0,263015.88,204280.65,216.11822514379622,167.85591618734594,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4552,49412.0,TOTAL,88.0,7345.52,5690.47,83.4718181818182,64.66443181818182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4556,49418.0,TOTAL,5275.0,1576428.52,1212620.16,298.8490085308057,229.88059905213268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4559,49419.0,TOTAL,593.0,176800.15,137382.57,298.14527824620575,231.67381112984825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4563,49421.0,TOTAL,2811.0,663220.86,505843.52,235.93769477054428,179.95144788331555,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4567,49422.0,TOTAL,11161.0,3900490.31,3003721.56,349.47498521637846,269.12656213600934,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4571,49423.0,TOTAL,8627.0,632794.5099999999,488855.91,73.35047061550944,56.665806189869016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4573,49424.0,TOTAL,18597.0,638194.13,492590.31,34.31704737323224,26.48762219712857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
4576,49425.0,TOTAL,210.0,126276.18,97948.15,601.3151428571429,466.41976190476186,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4579,49426.0,TOTAL,131.0,76100.17,58405.27,580.9173282442748,445.8417557251908,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4582,49427.0,TOTAL,139.0,5554.74,4196.18,39.96215827338129,30.18834532374101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
4584,49428.0,TOTAL,15.0,7403.78,5804.57,493.5853333333333,386.9713333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
4587,49429.0,TOTAL,61.0,25089.86,19351.61,411.3091803278689,317.2395081967213,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4590,49435.0,TOTAL,362.0,40515.57,30656.29,111.92146408839778,84.68588397790056,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4593,49436.0,TOTAL,450.0,82766.67,61701.82,183.92593333333332,137.11515555555556,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4596,49440.0,TOTAL,19454.0,4496520.100000001,3495141.46,231.13601829957852,179.66184126657757,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4599,49441.0,TOTAL,1091.0,264421.27,205326.19,242.36596700274978,188.19999083409715,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4601,49442.0,TOTAL,88.0,20491.78,15946.44,232.86113636363635,181.20954545454546,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4604,49446.0,TOTAL,4569.0,602638.12,468433.19,131.89715911578025,102.52422630772598,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4607,49450.0,TOTAL,17216.0,2080744.11,1601243.36,120.86106586895912,93.00902416356878,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4610,49451.0,TOTAL,6686.0,695029.71,533510.67,103.95299282081962,79.79519443613522,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4613,49452.0,TOTAL,11209.0,1733626.28,1330801.59,154.66377732179498,118.72616558122938,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4616,49460.0,TOTAL,775.0,55542.96,43397.93,71.66833548387096,55.997329032258065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4619,49465.0,TOTAL,17353.0,575188.12,442289.43,33.14632167348585,25.487779058376073,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4637,49505.0,TOTAL,79365.0,47541978.09999999,36714269.76,599.029523089523,462.6002615762616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4641,49507.0,TOTAL,13740.0,7908368.63,6130975.37,575.5726804949054,446.2136368267831,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4645,49520.0,TOTAL,8537.0,5699432.73,4399079.22,667.6154070516576,515.295679981258,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4649,49521.0,TOTAL,2686.0,1784052.02,1381378.93,664.2040282948623,514.2885070737156,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4653,49525.0,TOTAL,2057.0,1253761.08,971418.2,609.5095187165775,472.24997569275644,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4656,49540.0,TOTAL,152.0,84934.73,65768.44,558.7811184210526,432.6871052631579,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4660,49550.0,TOTAL,1368.0,761060.85,589826.34,556.3310307017543,431.15960526315786,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4664,49553.0,TOTAL,2903.0,1564325.66,1216377.25,538.8651946262487,419.0069755425422,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4668,49555.0,TOTAL,148.0,80209.95,62520.60000000001,541.9591216216216,422.43648648648656,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4671,49557.0,TOTAL,274.0,160840.05,124110.46,587.0074817518248,452.95788321167885,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4675,49560.0,TOTAL,32600.0,20102469.55,15519135.3,616.6401702453988,476.04709509202456,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4679,49561.0,TOTAL,17887.0,13706649.3,10620697.03,766.2911220439426,593.7662564991334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4683,49565.0,TOTAL,8317.0,4903799.560000001,3793109.01,589.6115859083806,456.0669724660334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4687,49566.0,TOTAL,5368.0,3795361.77,2942450.32,707.0346069299553,548.1464828614008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4691,49568.0,TOTAL,39225.0,9526304.860000001,7386912.78,242.86309394518804,188.32154952198854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4695,49570.0,TOTAL,1044.0,484900.0,370798.15,464.46360153256705,355.17064176245214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4699,49572.0,TOTAL,848.0,417583.55,322497.86,492.43343160377356,380.3040801886792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4709,49585.0,TOTAL,25595.0,10200731.47,7857926.699999999,398.5439136550108,307.0102246532526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4713,49587.0,TOTAL,11009.0,4939619.12,3803509.62,448.6891743119266,345.4909274230175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4717,49590.0,TOTAL,1009.0,538505.51,418743.72,533.7021902874133,415.0086422200198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4720,49600.0,TOTAL,14.0,8411.390000000001,6487.61,600.8135714285715,463.4007142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4731,49650.0,TOTAL,37736.0,21477258.86,16597969.21,569.1450832096672,439.8444246873013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4735,49651.0,TOTAL,5155.0,3150832.96,2431308.01,611.2188089233754,471.6407390882638,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4739,49652.0,TOTAL,9769.0,6521966.28,5018169.12,667.6186180775924,513.6829890469854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4743,49653.0,TOTAL,5431.0,4487881.999999999,3474260.7,826.3454244153929,639.7092064076597,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4747,49654.0,TOTAL,8230.0,5955158.2,4600405.12,723.5915188335358,558.9799659781288,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4751,49655.0,TOTAL,4859.0,4286125.24,3310083.390000001,882.1002757769089,681.2272875077178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4755,49656.0,TOTAL,1780.0,1403012.02,1086066.32,788.2090000000001,610.1496179775281,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4758,49657.0,TOTAL,1434.0,1593873.31,1225838.3,1111.4876638772664,854.8384239888425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4762,49659.0,TOTAL,1071.0,583262.37,454635.34,544.596050420168,424.4961157796452,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
4765,49900.0,TOTAL,1408.0,903749.34,704259.8,641.8674289772727,500.1845170454546,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
4768,49904.0,TOTAL,324.0,333260.85,257503.87,1028.5828703703703,794.7650308641976,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4771,49905.0,TOTAL,5424.0,1666987.63,1298152.91,307.3354775073746,239.33497603244837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4777,49999.0,TOTAL,1359.0,477212.75,372087.22,351.1499264164827,273.794863870493,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4780,69000.0,TOTAL,1945.0,303003.58,228436.84,155.7859023136247,117.4482467866324,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4782,69005.0,TOTAL,647.0,121098.72,92182.53,187.16958268933539,142.4768624420402,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4784,69020.0,TOTAL,1712.0,409086.86,313419.09,238.9526051401869,183.071898364486,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4789,69100.0,TOTAL,132394.0,9491416.85,7027034.199999999,71.69068726679457,53.07668172273667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4792,69105.0,TOTAL,1437.0,181811.14,138049.23,126.52132219902576,96.0676617954071,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4796,69110.0,TOTAL,2551.0,916451.62,709798.49,359.25190905527245,278.2432340258722,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4799,69120.0,TOTAL,278.0,72677.4,56793.89,261.4294964028777,204.29456834532374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4802,69140.0,TOTAL,223.0,235398.73,178500.51,1055.5996860986547,800.4507174887892,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4805,69145.0,TOTAL,2622.0,1024923.52,791944.37,390.89379099923724,302.0382799389779,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4809,69150.0,TOTAL,258.0,238700.42,185664.96,925.1954263565892,719.6316279069767,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4812,69155.0,TOTAL,44.0,60719.44,47601.71000000001,1379.9872727272727,1081.8570454545456,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4815,69200.0,TOTAL,43669.0,4894640.81,3592052.96,112.08502164006502,82.25635943117543,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4818,69205.0,TOTAL,828.0,149067.55,113536.79,180.03327294685988,137.1217270531401,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4822,69210.0,TOTAL,1538888.0,71984942.33,50901956.02,46.777245861947065,33.077102440203575,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4825,69220.0,TOTAL,48705.0,6481891.55,4711899.26,133.08472538753722,96.74364562159943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4829,69222.0,TOTAL,8280.0,1873700.73,1403884.55,226.29235869565218,169.55127415458938,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4832,69300.0,TOTAL,52.0,25484.83,19980.06,490.09288461538466,384.2319230769231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4836,69310.0,TOTAL,840.0,944652.99,732143.87,1124.5868928571429,871.5998452380952,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4838,69320.0,TOTAL,24.0,35098.76,26789.45,1462.4483333333335,1116.2270833333334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4841,69399.0,TOTAL,259.0,40506.15,31690.07,156.39440154440155,122.35548262548262,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4847,69420.0,TOTAL,13638.0,2624755.88,1990506.8,192.4590027863323,145.95298430854965,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4850,69421.0,TOTAL,496.0,96968.17,74582.24,195.50034274193547,150.36741935483872,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4853,69424.0,TOTAL,974.0,86837.34,65346.4,89.15537987679672,67.09075975359343,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4856,69433.0,TOTAL,41511.0,8562735.59,6476575.92,206.276302425863,156.02071547300716,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4860,69436.0,TOTAL,16170.0,4963408.62,3823544.32,306.9516771799629,236.45914162028447,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4864,69440.0,TOTAL,720.0,573679.88,442841.08,796.7776111111111,615.0570555555556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4868,69450.0,TOTAL,219.0,130171.83,99602.05,594.3919178082192,454.8038812785388,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4872,69501.0,TOTAL,83.0,65660.28,50690.28,791.0877108433734,610.726265060241,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4876,69502.0,TOTAL,323.0,281355.26,217331.95,871.0689164086688,672.8543343653251,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4879,69505.0,TOTAL,87.0,110305.76,86387.45,1267.8822988505747,992.9591954022989,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4882,69511.0,TOTAL,55.0,70037.06,52776.09,1273.401090909091,959.5652727272727,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4884,69530.0,TOTAL,51.0,80330.39,62780.03,1575.1056862745097,1230.9809803921569,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4887,69535.0,TOTAL,227.0,605603.95,472140.17,2667.858810572687,2079.912643171806,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4890,69540.0,TOTAL,432.0,76459.09999999999,58082.64,176.98865740740737,134.45055555555555,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4894,69550.0,TOTAL,93.0,108531.97,81842.2,1167.0104301075269,880.0236559139785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4897,69552.0,TOTAL,24.0,36562.14,28652.18,1523.4225,1193.8408333333334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4902,69601.0,TOTAL,52.0,51299.8,40215.87,986.5346153846154,773.3821153846154,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4905,69602.0,TOTAL,65.0,75896.05,57884.17,1167.6315384615384,890.5256923076922,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4908,69603.0,TOTAL,41.0,52195.7,40784.93,1273.0658536585365,994.7543902439024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4910,69604.0,TOTAL,44.0,56478.89,43485.55,1283.6111363636364,988.3079545454547,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4916,69610.0,TOTAL,3280.0,1220281.95,937209.2999999999,372.0371798780488,285.7345426829268,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
4919,69620.0,TOTAL,997.0,621821.21,477792.48,623.6922868605817,479.2301705115346,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4923,69631.0,TOTAL,3359.0,3775269.24,2907655.1,1123.9265376600179,865.6311699910688,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4927,69632.0,TOTAL,377.0,470123.58,362256.66,1247.0121485411141,960.89299734748,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4931,69633.0,TOTAL,810.0,1006608.11,775378.0,1242.726061728395,957.2567901234568,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4934,69635.0,TOTAL,228.0,315526.08,244157.09,1383.8863157894737,1070.8644298245613,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4938,69636.0,TOTAL,79.0,117364.65,90518.15000000001,1485.628481012658,1145.7993670886076,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4942,69637.0,TOTAL,152.0,225659.49,172906.63,1484.6019078947368,1137.5436184210528,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4945,69641.0,TOTAL,689.0,853490.3099999999,661956.59,1238.7377503628445,960.7497677793904,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4948,69642.0,TOTAL,248.0,379866.67,292405.77,1531.720443548387,1179.0555241935485,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4951,69643.0,TOTAL,959.0,1293774.34,992413.09,1349.0869030239835,1034.8415954118873,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4954,69644.0,TOTAL,466.0,736685.72,566984.16,1580.870643776824,1216.7042060085837,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4957,69645.0,TOTAL,465.0,724653.82,560430.14,1558.395311827957,1205.2261075268818,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4961,69646.0,TOTAL,338.0,546407.74,424252.71,1616.5909467455622,1255.1855325443787,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4965,69650.0,TOTAL,90.0,70912.24,55003.17,787.9137777777778,611.1463333333334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4968,69660.0,TOTAL,747.0,821142.24,629358.07,1099.2533333333333,842.5141499330655,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
4972,69661.0,TOTAL,222.0,327713.37,254290.07,1476.1863513513513,1145.4507657657657,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
